PolicyID,Name,DOB,PolicyNumber,InsuranceType,IssueDate,ExpiryDate,PremiumAmount,AccountNumber,IFSCCode,GSTNumber,FamilyID,NomineeName,Details
INS-728922,Gina Santos,1971-07-17,6842189,Health,2020-07-10,2022-10-18,26473.46,YDQM65715554978861,OJTT05499,19LLC1108Z8,FID-1012,Ian Blake,"Gina Santos holds a Health insurance with policy number 6842189. It was issued on 2020-07-10 and is valid till 2022-10-18. The premium is ₹26473.46. Family ID: FID-1012. Nominee: Ian Blake. IFSC: OJTT05499, GST: 19LLC1108Z8."
INS-377659,Theresa Ryan,1984-03-07,8531221,Travel,2023-07-07,2026-03-17,32946.68,RBYX13893254434394,UKNK08189,83INC5303Z9,FID-1006,Sheri Morgan,"Theresa Ryan holds a Travel insurance with policy number 8531221. It was issued on 2023-07-07 and is valid till 2026-03-17. The premium is ₹32946.68. Family ID: FID-1006. Nominee: Sheri Morgan. IFSC: UKNK08189, GST: 83INC5303Z9."
INS-874586,Ian Blake,2003-01-07,2932063,Home,2022-04-13,2024-12-12,46819.43,QLVE84891981471376,UMNP08690,71INC5677Z8,FID-1012,Ian Blake,"Ian Blake holds a Home insurance with policy number 2932063. It was issued on 2022-04-13 and is valid till 2024-12-12. The premium is ₹46819.43. Family ID: FID-1012. Nominee: Ian Blake. IFSC: UMNP08690, GST: 71INC5677Z8."
INS-551421,Joel Hood,1964-07-21,2641344,Home,2024-12-01,2027-07-13,10099.09,SHSX10765723758262,DTWR06705,80AND S9142Z1,FID-1017,Amber Graves,"Joel Hood holds a Home insurance with policy number 2641344. It was issued on 2024-12-01 and is valid till 2027-07-13. The premium is ₹10099.09. Family ID: FID-1017. Nominee: Amber Graves. IFSC: DTWR06705, GST: 80AND S9142Z1."
INS-622213,Linda Fowler,1981-01-05,5603959,Health,2024-05-31,2027-03-31,37770.36,YKCB75166019697044,AYJY09655,26INC7334Z2,FID-1023,Crystal Oneal,"Linda Fowler holds a Health insurance with policy number 5603959. It was issued on 2024-05-31 and is valid till 2027-03-31. The premium is ₹37770.36. Family ID: FID-1023. Nominee: Crystal Oneal. IFSC: AYJY09655, GST: 26INC7334Z2."
INS-326250,Alyssa Martin,1997-01-15,4194176,Vehicle,2024-03-08,2027-01-08,47704.76,FARW06400964811652,PXMB05053,37AND S5545Z1,FID-1010,Heather Martinez,"Alyssa Martin holds a Vehicle insurance with policy number 4194176. It was issued on 2024-03-08 and is valid till 2027-01-08. The premium is ₹47704.76. Family ID: FID-1010. Nominee: Heather Martinez. IFSC: PXMB05053, GST: 37AND S5545Z1."
INS-789013,Mackenzie Taylor,1983-11-22,3100692,Home,2023-10-16,2028-01-24,46225.5,JCRJ57249616848341,AKLS07320,24LLC2416Z8,FID-1015,Mackenzie Taylor,"Mackenzie Taylor holds a Home insurance with policy number 3100692. It was issued on 2023-10-16 and is valid till 2028-01-24. The premium is ₹46225.5. Family ID: FID-1015. Nominee: Mackenzie Taylor. IFSC: AKLS07320, GST: 24LLC2416Z8."
INS-637878,Jacob Baldwin,1960-09-11,7888022,Health,2020-07-18,2022-10-08,45855.91,FTBS54648220393661,WMKS01531,27LTD7247Z4,FID-1021,Jacob Baldwin,"Jacob Baldwin holds a Health insurance with policy number 7888022. It was issued on 2020-07-18 and is valid till 2022-10-08. The premium is ₹45855.91. Family ID: FID-1021. Nominee: Jacob Baldwin. IFSC: WMKS01531, GST: 27LTD7247Z4."
INS-916023,Vanessa Benitez,1957-06-30,7680433,Home,2021-03-17,2024-02-21,28005.84,NNRO76070696112819,UDGK09727,26LLC9820Z7,FID-1014,Ann Smith,"Vanessa Benitez holds a Home insurance with policy number 7680433. It was issued on 2021-03-17 and is valid till 2024-02-21. The premium is ₹28005.84. Family ID: FID-1014. Nominee: Ann Smith. IFSC: UDGK09727, GST: 26LLC9820Z7."
INS-147074,Samuel Fletcher,1990-02-26,9606662,Health,2022-09-22,2025-10-19,21307.9,VCKM82642003424291,KMBU03620,48LLC5548Z4,FID-1020,Erica Dawson,"Samuel Fletcher holds a Health insurance with policy number 9606662. It was issued on 2022-09-22 and is valid till 2025-10-19. The premium is ₹21307.9. Family ID: FID-1020. Nominee: Erica Dawson. IFSC: KMBU03620, GST: 48LLC5548Z4."
INS-973117,Tanya Gould,1966-01-07,4381195,Travel,2025-04-09,2030-04-04,3073.07,YURC46684548376680,OCAF05739,11AND S9017Z4,FID-1016,Tanya Gould,"Tanya Gould holds a Travel insurance with policy number 4381195. It was issued on 2025-04-09 and is valid till 2030-04-04. The premium is ₹3073.07. Family ID: FID-1016. Nominee: Tanya Gould. IFSC: OCAF05739, GST: 11AND S9017Z4."
INS-701651,Katie Diaz,1972-03-19,4618946,Health,2020-09-02,2022-11-14,29864.75,BJPN46063388851543,IKKA08660,62PLC8324Z2,FID-1021,Jacob Baldwin,"Katie Diaz holds a Health insurance with policy number 4618946. It was issued on 2020-09-02 and is valid till 2022-11-14. The premium is ₹29864.75. Family ID: FID-1021. Nominee: Jacob Baldwin. IFSC: IKKA08660, GST: 62PLC8324Z2."
INS-955188,Samantha Zuniga,1967-02-26,3832468,Home,2020-09-08,2022-12-08,29474.42,FLXV73802236470286,JAOI01052,16GROUP7134Z6,FID-1019,Christina Crawford,"Samantha Zuniga holds a Home insurance with policy number 3832468. It was issued on 2020-09-08 and is valid till 2022-12-08. The premium is ₹29474.42. Family ID: FID-1019. Nominee: Christina Crawford. IFSC: JAOI01052, GST: 16GROUP7134Z6."
INS-860921,Sharon Howell,1962-04-25,2641585,Health,2023-09-29,2024-10-03,28675.27,YVGC97026710684282,XPVD05722,48AND S5921Z6,FID-1005,Douglas Phillips,"Sharon Howell holds a Health insurance with policy number 2641585. It was issued on 2023-09-29 and is valid till 2024-10-03. The premium is ₹28675.27. Family ID: FID-1005. Nominee: Douglas Phillips. IFSC: XPVD05722, GST: 48AND S5921Z6."
INS-919384,Joel Jones,1991-01-16,5660282,Travel,2022-01-16,2025-09-08,36685.02,ERLC30364541568983,MBRV08379,94PLC9101Z3,FID-1034,Kara Meadows,"Joel Jones holds a Travel insurance with policy number 5660282. It was issued on 2022-01-16 and is valid till 2025-09-08. The premium is ₹36685.02. Family ID: FID-1034. Nominee: Kara Meadows. IFSC: MBRV08379, GST: 94PLC9101Z3."
INS-840384,Paul Patton,1989-05-04,1907944,Health,2023-07-11,2025-05-12,44411.7,DMQL86863510331537,QZJQ04322,83LTD3660Z8,FID-1017,Christopher Ryan,"Paul Patton holds a Health insurance with policy number 1907944. It was issued on 2023-07-11 and is valid till 2025-05-12. The premium is ₹44411.7. Family ID: FID-1017. Nominee: Christopher Ryan. IFSC: QZJQ04322, GST: 83LTD3660Z8."
INS-765509,Angel Wilson,1983-12-11,8731858,Life,2025-02-26,2026-10-15,23065.28,DPMF39133714027955,PHFI03892,90PLC7672Z4,FID-1017,Amanda Blackwell,"Angel Wilson holds a Life insurance with policy number 8731858. It was issued on 2025-02-26 and is valid till 2026-10-15. The premium is ₹23065.28. Family ID: FID-1017. Nominee: Amanda Blackwell. IFSC: PHFI03892, GST: 90PLC7672Z4."
INS-544454,Dr. Maria Burton,1975-02-01,2503595,Life,2024-03-08,2027-12-23,12396.3,TMTZ03533552717926,HTVF03968,98INC4462Z9,FID-1045,Keith Adams,"Dr. Maria Burton holds a Life insurance with policy number 2503595. It was issued on 2024-03-08 and is valid till 2027-12-23. The premium is ₹12396.3. Family ID: FID-1045. Nominee: Keith Adams. IFSC: HTVF03968, GST: 98INC4462Z9."
INS-919685,Jacob Baldwin,1960-09-11,2674988,Home,2021-01-02,2024-12-31,21782.1,XBHC25393670142937,TNSZ06566,94GROUP4046Z3,FID-1021,Katie Diaz,"Jacob Baldwin holds a Home insurance with policy number 2674988. It was issued on 2021-01-02 and is valid till 2024-12-31. The premium is ₹21782.1. Family ID: FID-1021. Nominee: Katie Diaz. IFSC: TNSZ06566, GST: 94GROUP4046Z3."
INS-689574,Ann Smith,1998-08-14,5199523,Life,2022-03-28,2025-11-19,41841.02,HFHB52744860458930,CVKJ07300,34LLC7843Z6,FID-1014,Ann Smith,"Ann Smith holds a Life insurance with policy number 5199523. It was issued on 2022-03-28 and is valid till 2025-11-19. The premium is ₹41841.02. Family ID: FID-1014. Nominee: Ann Smith. IFSC: CVKJ07300, GST: 34LLC7843Z6."
INS-371029,Andrew White,1999-08-17,7751137,Home,2024-04-21,2025-05-21,43979.17,HIKF70930701391261,JVLH04495,86GROUP4385Z8,FID-1044,Tara Austin,"Andrew White holds a Home insurance with policy number 7751137. It was issued on 2024-04-21 and is valid till 2025-05-21. The premium is ₹43979.17. Family ID: FID-1044. Nominee: Tara Austin. IFSC: JVLH04495, GST: 86GROUP4385Z8."
INS-118702,Theresa Ryan,1984-03-07,4806234,Travel,2025-01-31,2027-10-04,30746.8,NBQA10449559615030,RHVI02623,32LTD9879Z3,FID-1006,Sheri Morgan,"Theresa Ryan holds a Travel insurance with policy number 4806234. It was issued on 2025-01-31 and is valid till 2027-10-04. The premium is ₹30746.8. Family ID: FID-1006. Nominee: Sheri Morgan. IFSC: RHVI02623, GST: 32LTD9879Z3."
